package_name,version,role,declared_in,usage_tier,files_with_import,import_edges,distinct_import_paths,top_import_paths
adler2,2.0.1,transitive,,transitive-only,0,0,0,
ahash,0.8.12,transitive,,transitive-only,0,0,0,
aho-corasick,1.1.4,transitive,,transitive-only,0,0,0,
alloc-no-stdlib,2.0.4,transitive,,transitive-only,0,0,0,
alloc-stdlib,0.2.2,transitive,,transitive-only,0,0,0,
alloca,0.4.0,transitive,,transitive-only,0,0,0,
allocator-api2,0.2.21,transitive,,transitive-only,0,0,0,
android_system_properties,0.1.5,transitive,,transitive-only,0,0,0,
anes,0.1.6,transitive,,transitive-only,0,0,0,
anstream,1.0.0,transitive,,transitive-only,0,0,0,
anstyle,1.0.14,transitive,,transitive-only,0,0,0,
anstyle-parse,1.0.0,transitive,,transitive-only,0,0,0,
anstyle-query,1.1.5,transitive,,transitive-only,0,0,0,
anstyle-wincon,3.0.11,transitive,,transitive-only,0,0,0,
anyhow,1.0.102,direct,"cortex-cli,cortex-graph,cortex-mcp,cortex-pipeline,cortex-vector",direct-investigate-machete-mismatch,4,10,8,"anyhow::Result | anyhow:: | anyhow:: {Context, Result} | anyhow::Context | anyhow::Result | anyhow:: | anyhow:: {Context, Result} | anyhow::Context"
approx,0.5.1,transitive,,transitive-only,0,0,0,
arc-swap,1.9.1,transitive,,transitive-only,0,0,0,
arcstr,1.2.0,transitive,,transitive-only,0,0,0,
arrayref,0.3.9,transitive,,transitive-only,0,0,0,
arrayvec,0.7.6,transitive,,transitive-only,0,0,0,
arrow,57.3.1,transitive,,transitive-only,0,0,0,
arrow-arith,57.3.1,transitive,,transitive-only,0,0,0,
arrow-array,57.3.1,direct,cortex-vector,source-referenced,1,8,8,"arrow_array:: | arrow_array:: {Array, ArrayRef, FixedSizeListArray, Float32Array, Int64Array, RecordBatch, RecordBatchIterator, StringArray} | arrow_array::builder::FixedSizeListBuilder | arrow_array::builder::Float32Builder | arrow_array:: | arrow_array:: {Array, ArrayRef, FixedSizeListArray, Float32Array, Int64Array, RecordBatch, RecordBatchIterator, StringArray} | arrow_array::builder::FixedSizeListBuilder | arrow_array::builder::Float32Builder"
arrow-buffer,57.3.1,transitive,,transitive-only,0,0,0,
arrow-cast,57.3.1,transitive,,transitive-only,0,0,0,
arrow-csv,57.3.1,transitive,,transitive-only,0,0,0,
arrow-data,57.3.1,transitive,,transitive-only,0,0,0,
arrow-ipc,57.3.1,transitive,,transitive-only,0,0,0,
arrow-json,57.3.1,transitive,,transitive-only,0,0,0,
arrow-ord,57.3.1,transitive,,transitive-only,0,0,0,
arrow-row,57.3.1,transitive,,transitive-only,0,0,0,
arrow-schema,57.3.1,direct,cortex-vector,source-referenced,1,4,4,"arrow_schema:: | arrow_schema:: {DataType, Field, Schema, SchemaRef} | arrow_schema:: | arrow_schema:: {DataType, Field, Schema, SchemaRef}"
arrow-select,57.3.1,transitive,,transitive-only,0,0,0,
arrow-string,57.3.1,transitive,,transitive-only,0,0,0,
ascii-canvas,3.0.0,transitive,,transitive-only,0,0,0,
assert-json-diff,2.0.2,transitive,,transitive-only,0,0,0,
astral-tokio-tar,0.6.2,transitive,,transitive-only,0,0,0,
async-attributes,1.1.2,transitive,,transitive-only,0,0,0,
